strategy,fold,trade_id,allocated_cash,position_weight,net_return_pct,net_pnl,is_win
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,21,48348.194957170126,0.5,-5.009376153657445,-2421.9429489082913,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,22,47137.223482715985,0.5,3.612988567515524,1703.0624954747714,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,23,95977.50946090673,1.0,3.3835934228016824,3247.488697488103,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,24,99224.99815839484,1.0,2.0517241379310343,2035.8232380774111,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,25,101260.82139647225,1.0,1.1982462758964774,1213.354021325412,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,26,102474.17541779767,1.0,-2.2473101778093834,-2302.9125737904083,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,27,100171.26284400726,1.0,-4.838371941825703,-4846.658275216923,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,28,47662.30228439517,0.5,-1.176754176973443,-560.8681329733289,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,29,47381.8682179085,0.5,5.9749707818065705,2831.0527818941264,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,30,48797.39460885557,0.5,4.915262541008369,2398.5200581971153,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,31,99993.30927590825,1.0,-3.998337774776622,-3998.070257027855,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,32,95995.2390188804,1.0,-4.236097488544845,-4066.4519092014134,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,33,45964.393554839495,0.5,1.6516318435651618,759.162560653342,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,34,46343.97483516617,0.5,3.7701393528091653,1747.2324329165763,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,35,47217.59105162446,0.5,-0.4713751022518537,-222.57196810045693,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,36,94212.61013514847,1.0,0.060330605389577845,56.83903804785784,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,37,94269.44917319632,1.0,-0.4761790602490942,-448.8913771749237,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,38,93820.5577960214,1.0,-0.5217817087576389,-489.5385096340286,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,39,46665.50964319368,0.5,3.213937206728342,1499.8001771320044,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,40,47415.40973175969,0.5,2.148974105598593,1018.944877198991,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,41,95849.76434071836,1.0,5.350930840974976,5128.854601109334,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,42,100978.61894182769,1.0,-2.74690389294996,-2773.78561476017,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,43,98204.83332706752,1.0,-1.0205744587747456,-1002.2534462183604,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,44,97202.57988084917,1.0,-0.5373565785120661,-522.324457473189,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,45,48340.12771168799,0.5,2.1453905480638986,1037.0845308485714,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,46,48858.66997711227,0.5,14.392691029900332,7032.077411124445,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,47,104749.41736534899,1.0,-4.832527441028469,-5062.04433849793,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,48,99687.37302685106,1.0,3.1166884103740244,3106.9448017341883,1
