asset,config_id,model,total_folds,mean_roc_auc,mean_pr_auc,mean_mcc,mean_f1,mean_ppr,mean_return_spread_pct,net_spread_10bps_pct
tcs_ns,C0,logistic_regression,5,0.4894360978815834,0.5535468537414682,-0.00011393103964813036,0.5965033486267358,0.6710098472537714,0.26661890663106425,0.16661890663106424
tcs_ns,C0,random_forest,5,0.5607068769053957,0.615645633669859,0.07956809639588695,0.5453845931695052,0.5076749827631294,1.1477626486291448,1.0477626486291447
tcs_ns,C0,xgboost,5,0.567392372885525,0.6224668223628674,0.09444689819449839,0.5260044984378537,0.4628198742990091,0.9827824917844233,0.8827824917844233
tcs_ns,C5,logistic_regression,5,0.5432828798394667,0.6130076544805861,0.03914939899615485,0.46750018165629575,0.410285449065964,0.9323923780522275,0.8323923780522274
tcs_ns,C5,random_forest,5,0.5746381591127943,0.6357828410353823,0.10233379199305222,0.5442373859047527,0.49102568149820736,1.0914862781277606,0.9914862781277605
tcs_ns,C5,xgboost,5,0.5594587875171897,0.6216000119959022,0.08950418125128977,0.5417657693607508,0.4803672749084248,0.7744449491093213,0.6744449491093213
tcs_ns,C57,logistic_regression,5,0.5439291351575941,0.6124484783080577,0.0364740066833311,0.469292918841005,0.4171605764036747,0.8872141525184295,0.7872141525184294
tcs_ns,C57,random_forest,5,0.5725425904710729,0.6307376748348255,0.11075521023309642,0.5599673400320904,0.5083473398972789,1.1604618194016456,1.0604618194016455
tcs_ns,C57,xgboost,5,0.565898581605592,0.6266608341039668,0.09008988271147686,0.5259014945100292,0.4561651342607692,0.8279451751454735,0.7279451751454736
tcs_ns,C7,logistic_regression,5,0.48904470413708284,0.5511406611273598,0.00580603255689798,0.6006361117521546,0.671007884231581,0.3062995796544084,0.2062995796544084
tcs_ns,C7,random_forest,5,0.569067411300708,0.6237772864445853,0.0897202453665528,0.5634008931370239,0.5302270690530981,1.3190917123414179,1.2190917123414178
tcs_ns,C7,xgboost,5,0.5750814760170982,0.6315594307672721,0.09259297566439674,0.5307771954018835,0.4720843815638137,1.0513252103832018,0.9513252103832021
tcs_ns,C8,logistic_regression,5,0.5604459287254917,0.6323815539910733,0.0757097852846211,0.5280508038792433,0.49930437637903147,1.1879733785596782,1.0879733785596781
tcs_ns,C8,random_forest,5,0.5601746562375258,0.6373893812023569,0.09957684436663228,0.5925038379687105,0.5700937942685708,1.2679303182146444,1.1679303182146445
tcs_ns,C8,xgboost,5,0.54868492658283,0.62369433439627,0.0618059059462839,0.554989077788398,0.5169136402306201,0.6181883598159478,0.5181883598159478
