strategy,fold,trade_id,holding_period,exit_reason,net_return_pct,net_pnl,is_win
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,22,2,PROFIT_TARGET,2.8970000000000073,2833.7125842028167,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,23,2,PROFIT_TARGET,2.8969999999999976,2915.805237767163,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,24,1,PROFIT_TARGET,2.897000000000001,3000.276115505281,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,25,2,PROFIT_TARGET,2.8970000000000042,3087.1941145714727,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,26,5,PROFIT_TARGET,2.897000000000007,3176.630128070611,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,27,3,PROFIT_TARGET,2.897000000000004,3268.6571028808135,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,28,1,PROFIT_TARGET,2.8970000000000042,3363.3500991512715,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,29,1,PROFIT_TARGET,2.8970000000000065,3460.7863515236863,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,30,4,PROFIT_TARGET,2.8970000000000042,3561.045332127325,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,31,2,PROFIT_TARGET,2.897,3664.208815399048,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,32,1,PROFIT_TARGET,2.897,3770.3609447811587,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,33,7,PROFIT_TARGET,2.8970000000000056,3879.588301351476,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,34,10,TIME_LIMIT_10D,0.34464847198567755,474.91536016179793,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,35,5,PROFIT_TARGET,2.8969999999999967,4005.7382724255035,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,36,2,PROFIT_TARGET,2.8969999999999967,4121.78451017767,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,37,2,PROFIT_TARGET,2.8969999999999994,4241.1926074375215,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,38,2,PROFIT_TARGET,2.897000000000001,4364.059957274989,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,39,10,TIME_LIMIT_10D,-3.0386677680113108,-4710.078503125922,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,40,4,PROFIT_TARGET,2.8970000000000056,4354.035800001694,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,41,10,TIME_LIMIT_10D,-3.6489942399364406,-5643.121371840655,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,42,7,PROFIT_TARGET,2.897000000000012,4316.6909909855285,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,43,2,PROFIT_TARGET,2.897000000000004,4441.745528994367,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,44,1,PROFIT_TARGET,2.897000000000003,4570.422896969333,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,45,4,PROFIT_TARGET,2.8970000000000034,4702.828048294536,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,46,10,TIME_LIMIT_10D,-4.897182049419719,-8180.117959734693,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,47,2,PROFIT_TARGET,2.897000000000003,4602.090959560113,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,48,3,PROFIT_TARGET,2.8970000000000073,4735.413534658577,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,49,5,PROFIT_TARGET,2.8970000000000073,4872.598464757637,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,50,7,PROFIT_TARGET,2.8970000000000042,5013.757642281661,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,51,10,TIME_LIMIT_10D,-4.63002810090342,-8245.199752913946,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,52,3,PROFIT_TARGET,2.897,4920.142764336636,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,53,10,TIME_LIMIT_10D,-6.570594019787435,-11482.502704219425,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,54,2,PROFIT_TARGET,2.8969999999999976,4730.031196878227,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,55,4,PROFIT_TARGET,2.8970000000000016,4867.060200651797,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,56,6,PROFIT_TARGET,2.8969999999999962,5008.05893466467,1
