asset,model,fold,train_samples,validation_samples,fixed_threshold,dynamic_threshold,fixed_accuracy,dynamic_accuracy,fixed_precision,dynamic_precision,fixed_recall,dynamic_recall,fixed_f1,dynamic_f1,roc_auc,delta_recall,delta_f1,fixed_recall_below_35,dynamic_recall_below_35,fallback_used
infy_ns,logistic_regression,2,1809,937,0.5,0.26,0.46851654215581645,0.503735325506937,0.4457831325301205,0.5032051282051282,0.2356687898089172,1.0,0.30833333333333335,0.6695095948827292,0.4646401137202373,0.7643312101910829,0.36117626154939586,True,False,False
infy_ns,random_forest,2,1809,937,0.5,0.24,0.5016008537886874,0.5005336179295624,0.5058139534883721,0.5016042780748663,0.36942675159235666,0.9957537154989384,0.4269938650306748,0.6671408250355618,0.5006287416965092,0.6263269639065818,0.240146960004887,False,False,False
infy_ns,xgboost,2,1809,937,0.5,0.2,0.4983991462113127,0.4994663820704376,0.5014577259475219,0.5010752688172043,0.3651804670912951,0.9893842887473461,0.4226044226044226,0.6652391149179158,0.4804497781179665,0.624203821656051,0.24263469231349316,False,False,False
infy_ns,logistic_regression,3,2746,938,0.5,0.22,0.5362473347547975,0.5213219616204691,0.5484460694698354,0.520855614973262,0.6147540983606558,0.9979508196721312,0.5797101449275363,0.6844694307800422,0.5128233151183971,0.3831967213114754,0.10475928585250593,False,False,False
infy_ns,random_forest,3,2746,938,0.5,0.2,0.5319829424307037,0.5202558635394456,0.5466666666666666,0.5202558635394456,0.5881147540983607,1.0,0.5666337611056268,0.6844319775596073,0.5398907103825136,0.41188524590163933,0.11779821645398048,False,False,False
infy_ns,xgboost,3,2746,938,0.5,0.2,0.5149253731343284,0.523454157782516,0.5338809034907598,0.5219251336898396,0.5327868852459017,1.0,0.5333333333333333,0.6858749121574139,0.5451639344262295,0.4672131147540983,0.1525415788240806,False,False,False
infy_ns,logistic_regression,4,3684,940,0.5,0.21,0.5319148936170213,0.5117021276595745,0.5282485875706214,0.5111821086261981,0.7791666666666667,1.0,0.6296296296296297,0.6765327695560254,0.5158967391304348,0.22083333333333333,0.04690313992639572,False,False,False
infy_ns,random_forest,4,3684,940,0.5,0.23,0.5255319148936171,0.5106382978723404,0.5318352059925093,0.5106382978723404,0.5916666666666667,1.0,0.5601577909270217,0.676056338028169,0.5465919384057971,0.4083333333333333,0.11589854710114733,False,False,False
infy_ns,xgboost,4,3684,940,0.5,0.2,0.5202127659574468,0.5106382978723404,0.5252173913043479,0.5106609808102346,0.6291666666666667,0.9979166666666667,0.5725118483412323,0.6755994358251057,0.5428940217391305,0.36875,0.10308758748387348,False,False,False
infy_ns,logistic_regression,5,4624,940,0.5,0.31,0.5223404255319148,0.5361702127659574,0.5382475660639777,0.5361702127659574,0.7678571428571429,1.0,0.6328699918233851,0.6980609418282548,0.48955602883355176,0.2321428571428571,0.06519095000486974,False,False,False
infy_ns,random_forest,5,4624,940,0.5,0.2,0.4829787234042553,0.5361702127659574,0.51875,0.5361702127659574,0.49404761904761907,1.0,0.5060975609756098,0.6980609418282548,0.4871145514780836,0.5059523809523809,0.19196338085264508,False,False,False
infy_ns,xgboost,5,4624,940,0.5,0.2,0.5042553191489362,0.5361702127659574,0.540084388185654,0.5361702127659574,0.5079365079365079,1.0,0.523517382413088,0.6980609418282548,0.5013128913644969,0.4920634920634921,0.17454355941516686,False,False,False
icicibank_ns,logistic_regression,1,803,846,0.5,0.21,0.48936170212765956,0.5047281323877069,0.4945652173913043,0.5029655990510083,0.8584905660377359,1.0,0.6275862068965518,0.6692975532754538,0.48791133863900565,0.14150943396226412,0.04171134637890206,False,False,False
icicibank_ns,random_forest,1,803,846,0.5,0.21,0.541371158392435,0.5011820330969267,0.5308219178082192,0.5011820330969267,0.7311320754716981,1.0,0.6150793650793651,0.6677165354330709,0.5645706652955379,0.2688679245283019,0.05263717035370574,False,False,False
icicibank_ns,xgboost,1,803,846,0.5,0.21,0.5366430260047281,0.5,0.5273037542662116,0.5005959475566151,0.7287735849056604,0.9905660377358491,0.6118811881188119,0.665083135391924,0.5439785835643387,0.2617924528301887,0.053201947273112116,False,False,False
icicibank_ns,logistic_regression,2,1649,846,0.5,0.31,0.5106382978723404,0.5059101654846335,0.514218009478673,0.504750593824228,0.5093896713615024,0.9976525821596244,0.5117924528301887,0.6703470031545742,0.5200704225352113,0.488262910798122,0.15855455032438548,False,False,False
icicibank_ns,random_forest,2,1649,846,0.5,0.29,0.4988179669030733,0.5011820330969267,0.5019607843137255,0.5024154589371981,0.6009389671361502,0.9765258215962441,0.5470085470085471,0.6634768740031898,0.5036692376481108,0.3755868544600939,0.11646832699464271,False,False,False
icicibank_ns,xgboost,2,1649,846,0.5,0.2,0.48817966903073284,0.5023640661938534,0.4938704028021016,0.5029797377830751,0.6619718309859155,0.9906103286384976,0.5656970912738215,0.6671936758893281,0.49913369103509947,0.32863849765258213,0.10149658461550659,False,False,False
icicibank_ns,logistic_regression,3,2495,846,0.5,0.3,0.541371158392435,0.5023640661938534,0.5535168195718655,0.5011848341232228,0.42789598108747046,1.0,0.4826666666666667,0.6677190213101816,0.5536609493150915,0.5721040189125295,0.18505235464351488,False,False,False
icicibank_ns,random_forest,3,2495,846,0.5,0.27,0.5236406619385343,0.5,0.5252525252525253,0.5,0.491725768321513,1.0,0.5079365079365079,0.6666666666666666,0.5356901340755271,0.508274231678487,0.15873015873015872,False,False,False
icicibank_ns,xgboost,3,2495,846,0.5,0.21,0.5189125295508275,0.5023640661938534,0.5195121951219512,0.5011904761904762,0.5035460992907801,0.9952718676122931,0.5114045618247299,0.6666666666666666,0.5240346729708432,0.49172576832151305,0.1552621048419367,False,False,False
icicibank_ns,logistic_regression,4,3341,848,0.5,0.27,0.5200471698113207,0.47523584905660377,0.49375,0.475177304964539,0.3920595533498759,0.9975186104218362,0.43706777316735823,0.6437149719775821,0.5153539465246606,0.6054590570719602,0.20664719881022386,False,False,False
icicibank_ns,random_forest,4,3341,848,0.5,0.24,0.5047169811320755,0.4740566037735849,0.4765840220385675,0.47461629279811096,0.4292803970223325,0.9975186104218362,0.4516971279373368,0.6432,0.49974070872947274,0.5682382133995036,0.1915028720626632,False,False,False
icicibank_ns,xgboost,4,3341,848,0.5,0.25,0.5165094339622641,0.47877358490566035,0.49025069637883006,0.4767580452920143,0.43672456575682383,0.9925558312655087,0.46194225721784776,0.644122383252818,0.5041514484066133,0.5558312655086849,0.18218012603497025,False,False,False
icicibank_ns,logistic_regression,5,4189,848,0.5,0.23,0.48702830188679247,0.5283018867924528,0.5471698113207547,0.5266272189349113,0.1303370786516854,1.0,0.21052631578947367,0.689922480620155,0.5137981989014971,0.8696629213483146,0.47939616483068137,True,False,False
icicibank_ns,random_forest,5,4189,848,0.5,0.24,0.5035377358490566,0.527122641509434,0.5666666666666667,0.5260047281323877,0.2292134831460674,1.0,0.3264,0.6893880712625872,0.5233334262692726,0.7707865168539326,0.36298807126258714,True,False,False
icicibank_ns,xgboost,5,4189,848,0.5,0.23,0.4988207547169811,0.5247641509433962,0.5588235294117647,0.5258620689655172,0.21348314606741572,0.9595505617977528,0.3089430894308943,0.6793953858392999,0.518554660272674,0.7460674157303371,0.3704522964084056,True,False,False
