asset,feature_config,feature_count,model,fold,train_samples,validation_samples,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time,is_model_collapse
infy_ns,NO_PRICE_LEVELS_27,27,logistic_regression,3,4125,1410,0.5120567375886524,0.5727069351230425,0.3399734395750332,0.4266666666666667,0.5269697465844385,0.07673019997309893,0.007024600054137409,False
infy_ns,NO_PRICE_LEVELS_27,27,random_forest,3,4125,1410,0.49929078014184397,0.5807560137457045,0.2244355909694555,0.32375478927203066,0.5121037918341854,0.9135883999988437,0.26030520000495017,False
infy_ns,NO_PRICE_LEVELS_27,27,xgboost,3,4125,1410,0.5078014184397163,0.5577299412915852,0.3784860557768924,0.4509493670886076,0.5077053531182221,0.49914510000962764,0.009727900032885373,False
icicibank_ns,ALL_32,32,logistic_regression,1,1198,1269,0.4909377462568952,0.4874446085672083,0.5246422893481717,0.5053598774885145,0.4955559419713831,0.03981190000195056,0.0074894999852404,False
icicibank_ns,ALL_32,32,random_forest,1,1198,1269,0.508274231678487,0.5124378109452736,0.16375198728139906,0.24819277108433735,0.5327392189984103,0.599043200025335,0.2584607000462711,False
icicibank_ns,ALL_32,32,xgboost,1,1198,1269,0.512214342001576,0.5129533678756477,0.314785373608903,0.3901477832512315,0.5339427662957075,0.520019100047648,0.014912600046955049,False
icicibank_ns,ALL_32,32,logistic_regression,2,2467,1270,0.5125984251968504,0.5405405405405406,0.09554140127388536,0.16238159675236807,0.5470762148540589,0.07552800001576543,0.005803800071589649,False
icicibank_ns,ALL_32,32,random_forest,2,2467,1270,0.5188976377952756,0.5578231292517006,0.1305732484076433,0.21161290322580645,0.5291684028811239,0.648761700023897,0.20649589993990958,False
icicibank_ns,ALL_32,32,xgboost,2,2467,1270,0.5125984251968504,0.516245487364621,0.22770700636942676,0.3160220994475138,0.5217150822469592,0.42523240006994456,0.012691300013102591,False
icicibank_ns,ALL_32,32,logistic_regression,3,3737,1272,0.4992138364779874,0.5174418604651163,0.13841368584758942,0.2184049079754601,0.5082124481081576,0.0758080999366939,0.0033008999889716506,False
icicibank_ns,ALL_32,32,random_forest,3,3737,1272,0.5094339622641509,0.5358490566037736,0.2208398133748056,0.31277533039647576,0.5188924630421292,0.7338367999764159,0.24970010004471987,False
icicibank_ns,ALL_32,32,xgboost,3,3737,1272,0.5165094339622641,0.5542635658914729,0.2223950233281493,0.3174250832408435,0.5187676011937287,0.675772299990058,0.015320200007408857,False
icicibank_ns,SHORTLIST_16,16,logistic_regression,1,1226,1269,0.5003940110323088,0.4970484061393152,0.6693163751987281,0.5704607046070461,0.5124205087440381,0.023106499924324453,0.004004499991424382,False
icicibank_ns,SHORTLIST_16,16,random_forest,1,1226,1269,0.5114263199369582,0.5067669172932331,0.5357710651828299,0.5208655332302936,0.5308450914149443,0.6572504000505432,0.18154759996104985,False
icicibank_ns,SHORTLIST_16,16,xgboost,1,1226,1269,0.5043341213553979,0.5,0.5262321144674086,0.5127807900852053,0.5259787360890302,0.4012754000723362,0.008978499914519489,False
icicibank_ns,SHORTLIST_16,16,logistic_regression,2,2495,1270,0.5338582677165354,0.5373443983402489,0.4124203821656051,0.4666666666666667,0.5378717979244796,0.016992999939247966,0.0027544000186026096,False
icicibank_ns,SHORTLIST_16,16,random_forest,2,2495,1270,0.511023622047244,0.5063291139240507,0.445859872611465,0.4741744284504657,0.5266446911522512,0.5372551999753341,0.16263360006269068,False
icicibank_ns,SHORTLIST_16,16,xgboost,2,2495,1270,0.515748031496063,0.5106035889070146,0.4984076433121019,0.5044319097502015,0.5196117824473679,0.4260361000197008,0.01280389993917197,False
icicibank_ns,SHORTLIST_16,16,logistic_regression,3,3765,1272,0.49292452830188677,0.49645390070921985,0.2177293934681182,0.3027027027027027,0.5021523215650011,0.022713499958626926,0.0031762999715283513,False
icicibank_ns,SHORTLIST_16,16,random_forest,3,3765,1272,0.5157232704402516,0.5398230088495575,0.2846034214618974,0.3727087576374745,0.5131166753616666,0.7712814999977127,0.1620836000656709,False
icicibank_ns,SHORTLIST_16,16,xgboost,3,3765,1272,0.5062893081761006,0.5241157556270096,0.2534992223950233,0.3417190775681342,0.5135085684898145,0.5262978000100702,0.010903899907134473,False
icicibank_ns,NO_PRICE_LEVELS_27,27,logistic_regression,1,1198,1269,0.4909377462568952,0.48673946957878317,0.4960254372019078,0.49133858267716535,0.4955509737678855,0.03924600000027567,0.005715000093914568,False
icicibank_ns,NO_PRICE_LEVELS_27,27,random_forest,1,1198,1269,0.5130023640661938,0.5255813953488372,0.17965023847376788,0.2677725118483412,0.5041708068362479,0.5253368000267074,0.15352639998309314,False
icicibank_ns,NO_PRICE_LEVELS_27,27,xgboost,1,1198,1269,0.5137903861308116,0.5181818181818182,0.2718600953895072,0.35662148070907196,0.5259315381558028,1.0551408000756055,0.01157880004029721,False
icicibank_ns,NO_PRICE_LEVELS_27,27,logistic_regression,2,2467,1270,0.5433070866141733,0.5594059405940595,0.35987261146496813,0.437984496124031,0.5418452487251225,0.03795180004090071,0.0039036000380292535,False
icicibank_ns,NO_PRICE_LEVELS_27,27,random_forest,2,2467,1270,0.5133858267716536,0.5268817204301075,0.15605095541401273,0.24078624078624078,0.5446331130821279,0.6347059999825433,0.20655779994558543,False
icicibank_ns,NO_PRICE_LEVELS_27,27,xgboost,2,2467,1270,0.5330708661417323,0.5631768953068592,0.2484076433121019,0.3447513812154696,0.5481576284302637,0.743931100005284,0.017338300007395446,False
icicibank_ns,NO_PRICE_LEVELS_27,27,logistic_regression,3,3737,1272,0.5102201257861635,0.5617283950617284,0.14152410575427682,0.22608695652173913,0.5048325244098733,0.03805400000419468,0.003136900020763278,False
icicibank_ns,NO_PRICE_LEVELS_27,27,random_forest,3,3737,1272,0.5188679245283019,0.5734597156398105,0.18818040435458788,0.28337236533957844,0.5228657895842966,0.6824774000560865,0.1509867999702692,False
icicibank_ns,NO_PRICE_LEVELS_27,27,xgboost,3,3737,1272,0.49842767295597484,0.5098814229249012,0.2006220839813375,0.28794642857142855,0.5053245542679263,0.5261567999841645,0.00844380003400147,False
