strategy,fold,trade_id,net_return_pct,net_pnl,is_win
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,66,-1.1300820957165252,-1111.2251184905533,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,67,-3.5384186046511625,-3440.0554173150676,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,68,2.5659201561371026,2406.322017396086,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,69,-10.514645838005803,-10113.659689518856,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,70,4.295348949621122,3697.1247041912443,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,71,0.3911824713592246,351.1639908307287,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,72,-0.27954945633307854,-251.93285686761374,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,73,-3.017956570834085,-2712.2104029261095,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,74,-5.185072064878766,-4519.14752536788,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,75,10.583042298139683,8745.587177781548,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,76,13.568154505389545,12399.031279233033,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,77,-2.073697254034002,-2152.1319565574795,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,78,5.245823920926111,5331.3428314689845,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,1,3.506061576548527,3506.061576548527,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,2,8.867857142857142,9178.769674806072,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,3,2.2419103171362926,2526.29285767174,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,4,-6.650095539108915,-7661.6498249315955,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,5,0.9634215231940824,1036.1547833350535,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,6,-0.8202009058917569,-890.620313279322,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,7,4.864876908052885,5239.229612006199,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,8,11.744441720257061,13263.49580712946,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,9,2.138849567917158,2699.179692086574,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,10,1.904391849230437,2454.7023215617346,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,11,-5.79033851446468,-7605.703221443887,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,12,-0.823792439744366,-1019.4094755023544,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,13,-3.773633983912703,-4631.249042966005,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,14,2.9555990643527914,3490.422235481236,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,15,1.0930639432646634,1329.0091919907964,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,16,7.221413292069561,8876.177463646272,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,17,4.094076466535768,5395.618720971125,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,18,7.459684565809878,10233.67882854109,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,19,10.005238866018171,14749.73923347795,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,20,-1.6538493852802933,-2682.0458962629855,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,21,7.867189216667506,12547.211269473184,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,22,-2.0480943744869005,-3523.440498534451,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,23,-0.0845399780848817,-142.4596908419328,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,24,1.586766715086321,2671.6258735278434,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,25,-4.715096270383656,-8064.737965691791,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,26,3.6095710192208785,5882.736385039248,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,27,-0.7645094129531486,-1290.9413410742377,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,28,-0.502130716195496,-841.409636565079,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,29,-0.4383006437901622,-730.7630538407485,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,30,-7.945268618367793,-13188.802318621598,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,31,5.368118956064048,8202.854728980596,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,32,-0.2714110875445418,-436.9982537541208,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,33,-9.411965623622741,-15113.05012243809,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,34,-0.6243863319220838,-908.2303578833435,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,35,-2.2134815978418003,-3199.619728399538,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,36,12.246629359890076,17310.834654033133,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,37,-5.752252080359723,-9126.676400373864,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,38,-5.039187244430746,-7535.398421433687,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,39,7.008245530347769,9951.749955941423,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,40,-2.506053025724509,-3808.006196747235,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,41,-9.542520800101357,-14136.703800779376,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,42,-12.56869689174037,-16843.012739137917,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,43,4.141231877281444,4852.058450115254,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,44,0.8887076920029584,1084.371576392212,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,45,-11.239208816605124,-13835.583681929747,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,46,3.8398806616721215,4195.66338018005,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,47,16.64902419275715,18890.170365480735,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,48,2.8440078585461683,3764.0812777839546,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,49,4.088829028879413,5565.525085724853,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,50,-5.9316305837838055,-8403.987774885347,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,51,-3.626872253417969,-4833.783459218074,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,52,-8.659694425947503,-11122.782723731825,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,53,3.3322247683502906,3909.377729747592,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,54,-0.08802378932914172,-106.7109993151611,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,55,2.1275948106881057,2577.0069985414552,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,56,-18.566918238085268,-22967.282092029498,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,57,-9.767225264886662,-9838.79369952668,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,58,0.6234809330531529,566.7064288386766,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,59,-7.184408634373679,-6570.907081929681,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,60,11.337725259231188,9624.566213966014,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,61,-2.0074942383579746,-1897.369379064662,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,62,1.2653771341371127,1171.9536213476963,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,63,-1.6918667630594038,-1586.78317243708,0
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,64,8.185252477359532,7546.975790060797,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,65,12.482461977186313,12451.142159423307,1
Candidate C: Risk-Adjusted Edge (RAE > 0.5),1,66,10.120911052123763,11355.685638415904,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,1,3.506061576548527,3506.061576548527,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,2,8.867857142857142,9178.769674806072,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,3,2.2419103171362926,2526.29285767174,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,4,-6.650095539108915,-7661.6498249315955,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,5,0.9634215231940824,1036.1547833350535,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,6,-0.8202009058917569,-890.620313279322,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,7,4.864876908052885,5239.229612006199,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,8,11.744441720257061,13263.49580712946,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,9,2.138849567917158,2699.179692086574,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,10,1.904391849230437,2454.7023215617346,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,11,0.7414116061328017,973.8561272529437,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,12,-5.79033851446468,-7662.092787855689,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,13,-5.292544025811025,-6597.864245494992,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,14,-6.169732441471571,-7284.326398472358,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,15,7.794466842342675,8634.8030349889,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,16,3.1630402384500744,3777.1758754901725,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,17,0.6147255932919244,757.2999316096727,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,18,2.9413394496058847,3645.804005150348,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,19,2.5356191963138346,3235.3555597565874,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,20,-1.3309616726826459,-1741.318814968391,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,21,6.683272597768281,8627.457212643561,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,22,3.7229629747573845,5127.18142619145,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,23,-3.6489942399364406,-5212.403892201895,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,24,2.5404118710538377,3496.4334664202165,1
