feature_config,feature_count,model,fold,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time
MOMENTUM,6,xgboost,2,0.5330021291696239,0.5287356321839081,0.5272206303724928,0.5279770444763271,0.5376986285912331,0.3810530999908224,0.00830149999819696
MOMENTUM,6,logistic_regression,3,0.517388218594748,0.5412587412587413,0.523680649526387,0.53232462173315,0.5139579504372589,0.018944800016470253,0.0027935999678447843
MOMENTUM,6,random_forest,3,0.48757984386089426,0.5171717171717172,0.34641407307171856,0.41491085899513774,0.48608547250217116,0.5724907000549138,0.15217380004469305
MOMENTUM,6,xgboost,3,0.49680624556423,0.5323275862068966,0.3342354533152909,0.4106400665004156,0.49047320905620745,0.2864591999677941,0.007949599996209145
VOLATILITY,5,logistic_regression,1,0.5138396025550035,0.5248908296943231,0.8099730458221024,0.6369899311075782,0.49954941666632985,0.015577399986796081,0.0025719000259414315
VOLATILITY,5,random_forest,1,0.4691270404542229,0.49327354260089684,0.29649595687331537,0.37037037037037035,0.4748299704595142,0.4418125000083819,0.15157800004817545
VOLATILITY,5,xgboost,1,0.47977288857345635,0.5078534031413613,0.3921832884097035,0.44258555133079847,0.4978784192809256,0.27509879996068776,0.0076778000220656395
VOLATILITY,5,logistic_regression,2,0.4918381831085876,0.4934971098265896,0.9785100286532952,0.6560999039385207,0.5044047892511858,0.011679599992930889,0.0022486000088974833
VOLATILITY,5,random_forest,2,0.5074520936834634,0.5024271844660194,0.5931232091690545,0.5440210249671484,0.505536211558844,0.5073390000034124,0.17187320010270923
VOLATILITY,5,xgboost,2,0.5102909865152591,0.5042283298097252,0.6833810888252149,0.5802919708029197,0.5125484103667703,0.284470499958843,0.0074507000390440226
VOLATILITY,5,logistic_regression,3,0.5308729595457772,0.5421166306695464,0.6792963464140731,0.603003003003003,0.5164704219093976,0.020188200054690242,0.002588900038972497
VOLATILITY,5,random_forest,3,0.5053229240596168,0.5295774647887324,0.5087956698240866,0.5189786059351277,0.5076757619211116,0.679939900059253,0.2009674001019448
VOLATILITY,5,xgboost,3,0.5031937544357701,0.522083805209513,0.6238159675236806,0.5684340320591862,0.5024044190414638,0.5464416000759229,0.012478600023314357
VOLUME,5,logistic_regression,1,0.5277777777777778,0.5275196568977841,0.9972972972972973,0.6900420757363254,0.4782786551611853,0.023538800072856247,0.002792400075122714
VOLUME,5,random_forest,1,0.48005698005698005,0.5454545454545454,0.08108108108108109,0.1411764705882353,0.4962980299576685,0.5242526999209076,0.15603519999422133
VOLUME,5,xgboost,1,0.4772079772079772,0.5882352941176471,0.02702702702702703,0.05167958656330749,0.5240465239335721,0.28321919997688383,0.008048599935136735
VOLUME,5,logistic_regression,2,0.4953802416488984,0.4953802416488984,1.0,0.6625475285171103,0.5159112494190394,0.024195499951019883,0.0028114999877288938
