architecture,asset,entry_date,exit_date,net_return_pct,net_pnl,is_win
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-07-05,2007-07-19,10.644414358800738,2181.3945541946887,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-07-06,2007-07-20,1.4380571904116675,283.2560600404083,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-07-17,2007-07-31,1.8705784768108917,371.1142492036316,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-07-19,2007-08-02,-4.9212938325552456,-1215.7241928336866,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-07-25,2007-08-08,0.33301903752625706,79.12117426224603,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-07-31,2007-08-14,-1.081978130274314,-249.38660030595304,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-08-02,2007-08-16,-3.463914206379949,-801.4400169884151,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-08-08,2007-08-22,-11.037038337556087,-2569.0959175256003,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-08-14,2007-08-28,-3.891283034879934,-902.0609804758664,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-08-16,2007-08-30,9.892986445574095,2276.6081022909016,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2007-08-16,2007-08-30,4.862516366891474,895.1832063483514,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-08-22,2007-09-05,4.475463017003578,844.4970164074881,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-08-30,2007-09-13,5.98500185348587,1472.8662360031938,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-09-03,2007-09-17,-3.0501370416622793,-718.2597125191289,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-09-05,2007-09-19,-4.645079863936022,-1058.22118379464,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-09-13,2007-09-27,14.285614603532318,3348.786683260553,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-09-17,2007-10-01,5.518464598595786,1286.8713149159357,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-09-19,2007-10-03,5.435742541113642,1250.229683468484,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-10-01,2007-10-15,1.127675938440966,323.41149527885364,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-10-03,2007-10-17,1.3855310138012304,385.0897180478464,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-10-16,2007-10-30,-0.7006791095299741,-196.43889873922282,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-10-18,2007-11-01,-9.014683008205328,-2529.8941487406105,0
