date,portfolio_equity
2012-06-26,181245.91402169986
2012-06-27,181195.585834016
2012-06-28,181064.72918634585
2012-06-29,210905.66360421124
2012-07-02,181752.45838654425
2012-07-03,181931.24375868705
2012-07-04,181864.15394983545
2012-07-05,145490.30989540444
2012-07-06,213705.51539762705
2012-07-09,182805.641851057
2012-07-10,183549.3721488574
2012-07-11,182760.4462953891
2012-07-12,182295.3896830395
2012-07-13,182748.47617412158
2012-07-16,181976.24810743926
2012-07-17,182026.5981476877
2012-07-18,182414.23261803197
2012-07-19,183296.20112456352
2012-07-20,182835.7403958373
2012-07-23,181308.45476008093
2012-07-24,181473.16071512696
2012-07-25,181629.86489515015
2012-07-26,205000.30914000544
2012-07-27,177781.7286751305
2012-07-30,184162.54653527643
2012-07-31,184581.8992409899
2012-08-01,184575.00032507276
2012-08-02,184101.36804936684
2012-08-03,153348.2426063751
2012-08-06,185852.86660196097
2012-08-07,186332.1138775912
2012-08-08,186132.00811356262
2012-08-09,158949.51000982246
2012-08-10,226209.57371391528
2012-08-13,185640.83441660344
2012-08-14,186485.471293515
2012-08-16,185565.58880857422
2012-08-17,185545.03651964216
2012-08-21,186116.17774485773
2012-08-22,186088.36317939468
2012-08-23,186127.7916672212
2012-08-24,195969.0722220632
2012-08-27,184766.5785465179
2012-08-28,184269.86295478194
2012-08-29,183824.66230863272
2012-08-30,184293.55584660562
2012-08-31,183260.13462805736
2012-09-03,182954.60308476366
2012-09-04,183713.6721972773
2012-09-05,182634.72740585817
2012-09-06,182831.14602077426
2012-09-07,108084.78882784149
2012-09-10,251252.3171223817
2012-09-11,185343.58830010353
2012-09-12,185713.83162075587
2012-09-13,186122.84376771175
2012-09-14,188718.48123968416
2012-09-17,190576.75899886183
2012-09-18,189975.94615110298
2012-09-20,231534.96305099947
2012-09-21,191651.11701249809
2012-09-24,117730.72599510376
2012-09-25,191925.15532113932
2012-09-26,191902.8475062672
2012-09-27,191313.37310081744
2012-09-28,191915.51363858086
2012-10-01,191957.5084636552
2012-10-03,192595.74698588508
2012-10-04,184363.8018587113
2012-10-05,192271.53323643788
2012-10-08,191974.50290062474
2012-10-09,192031.01791957987
2012-10-10,191886.4462569419
2012-10-11,191889.07419088413
2012-10-12,192125.64600247354
2012-10-15,192025.76205169543
2012-10-16,192058.61924774954
2012-10-17,191723.47584799788
2012-10-18,157994.9063128165
2012-10-19,192359.58988012074
2012-10-22,192359.58988012074
2012-10-23,192359.58988012074
2012-10-25,192359.58988012074
2012-10-29,192359.58988012074
2012-10-30,230793.03593816888
2012-10-31,192354.47695426847
2012-11-01,192014.8120018384
2012-11-02,192117.92464279092
2012-11-05,192402.9994611785
2012-11-06,192678.97468988228
2012-11-07,192709.3017194548
2012-11-08,192645.61569775853
2012-11-09,192666.8431376473
2012-11-12,193391.65988483618
2012-11-15,192466.12635788324
2012-11-16,223670.72064755688
2012-11-19,217936.09450558902
2012-11-20,193404.241351273
2012-11-21,194506.67714929022
2012-11-22,195147.89809728556
2012-11-23,195357.83234828615
2012-11-26,195513.80819698118
2012-11-27,217106.97859921498
2012-11-29,157344.34999290202
2012-11-30,167574.39197213814
2012-12-03,174014.95079883744
2012-12-04,200095.81643698516
2012-12-05,200104.41175205386
2012-12-06,200408.11395315168
2012-12-07,236039.02885350015
2012-12-10,251401.8087098991
2012-12-11,177579.52265950793
2012-12-12,199567.85663508554
2012-12-13,199319.12467153798
2012-12-14,199853.86525369386
2012-12-17,198656.560585197
2012-12-18,198772.66973653156
2012-12-19,199891.00170212064
2012-12-20,200346.48325349463
2012-12-21,194402.7860465479
2012-12-24,206277.93015838228
2012-12-26,200895.98022442032
2012-12-27,222498.74647346704
2012-12-28,219563.5987578255
2012-12-31,201117.81613007144
2013-01-01,201880.1672734826
2013-01-02,202530.78265010566
2013-01-03,203501.89154894307
2013-01-04,173963.95559326996
2013-01-07,170337.79385862692
2013-01-08,203695.61839237125
2013-01-09,203194.80013941805
2013-01-10,179552.48007020028
2013-01-11,185979.7468803758
2013-01-14,268023.9452239526
2013-01-15,204064.23060133966
2013-01-16,203698.28735371222
2013-01-17,204640.77467910535
2013-01-18,204123.80829182308
2013-01-21,176388.46310056438
2013-01-22,203252.4453611846
2013-01-23,253989.46306071887
2013-01-24,221806.0537623989
2013-01-25,204530.96725341206
2013-01-28,185225.97258111445
2013-01-29,203778.82933392472
2013-01-30,204463.99233505162
2013-01-31,203306.5113880544
2013-02-01,203020.94353681672
2013-02-04,203387.70551751257
2013-02-05,202750.87344064648
2013-02-06,152184.98377918327
2013-02-07,185169.93229500257
2013-02-08,203127.3267964612
2013-02-11,159701.20394570392
2013-02-12,203382.12052933217
2013-02-13,203382.12052933217
2013-02-14,203382.12052933217
2013-02-15,203382.12052933217
2013-02-18,203382.12052933217
2013-02-19,203382.12052933217
2013-02-20,203382.12052933217
2013-02-21,276526.46635650116
2013-02-22,203457.21998442587
2013-02-25,203368.97632410083
2013-02-26,201989.82356576354
2013-02-27,202295.87731720984
2013-02-28,199837.77821319303
2013-03-01,200299.0691162441
2013-03-04,200636.92755256195
2013-03-05,202211.03872025752
2013-03-06,202646.68004633754
2013-03-07,130164.5571387726
2013-03-08,203529.27166732418
2013-03-11,203529.27166732418
2013-03-12,203529.27166732418
2013-03-13,203529.27166732418
2013-03-14,203529.27166732418
2013-03-15,203529.27166732418
2013-03-18,244194.42014645555
2013-03-19,261593.08228774476
2013-03-20,223012.43785658083
2013-03-21,201996.2965464612
2013-03-22,201554.7817228694
2013-03-25,201111.1226759545
2013-03-26,200248.17155407602
2013-03-28,201108.83344880794
2013-04-01,164171.32015093384
2013-04-02,142290.15883968308
2013-04-03,181529.10519423426
2013-04-04,242705.2413187648
2013-04-05,201820.93535279503
2013-04-08,201458.3525218233
2013-04-09,233830.14146990643
2013-04-10,202611.19659634208
2013-04-11,205230.61010822756
2013-04-12,198189.65543398168
2013-04-15,224622.33480993303
2013-04-16,199873.20447311577
2013-04-17,220154.49057076132
2013-04-18,155803.88869708893
2013-04-22,200060.23101457028
2013-04-23,205179.32207726158
2013-04-25,200413.3207149582
