asset,config_id,fold,feature,train_mean,val_mean,mean_shift,train_std,val_std
infy_ns,C5,5,POSITION_IN_20D_RANGE,0.547728368637972,0.5792028979468119,0.03147452930883987,0.29323815079138676,0.2936624382069129
infy_ns,C7,1,MOMENTUM_ACCELERATION,-0.0009213514566328772,-1.596147412421602e-05,0.0009053899825086612,0.13700703703513492,0.0603565404523994
infy_ns,C7,2,MOMENTUM_ACCELERATION,-0.00045915237163950535,-0.00013022407135849482,0.00032892830028101054,0.10508111050906688,0.06753858669590439
infy_ns,C7,3,MOMENTUM_ACCELERATION,-0.0003469551319732125,-0.00026030693289263746,8.664819908057504e-05,0.09396316548080144,0.05760336153572999
infy_ns,C7,4,MOMENTUM_ACCELERATION,-0.0003248992267527027,-2.5457803004443176e-05,0.0002994414237482595,0.08616852351028134,0.04665965718493984
infy_ns,C7,5,MOMENTUM_ACCELERATION,-0.0002640397806287319,9.590327837430422e-05,0.0003599430590030361,0.07973536929447814,0.06071711062728945
infy_ns,C57,1,POSITION_IN_20D_RANGE,0.493823967248985,0.6148890136324681,0.12106504638348309,0.2995207103607792,0.2727503660219713
infy_ns,C57,1,MOMENTUM_ACCELERATION,3.721168442000672e-05,-1.596147412421602e-05,-5.317315854422274e-05,0.11509236227303611,0.0603565404523994
infy_ns,C57,2,POSITION_IN_20D_RANGE,0.564311744727459,0.5418231498804285,-0.022488594847030585,0.2903579546265749,0.29674939159687375
infy_ns,C57,2,MOMENTUM_ACCELERATION,6.252643150402412e-06,-0.00013022407135849482,-0.00013647671450889724,0.08745897100320074,0.06753858669590439
infy_ns,C57,3,POSITION_IN_20D_RANGE,0.5559631657370995,0.5417870133133581,-0.014176152423741373,0.29288997149246054,0.3071640814984228
infy_ns,C57,3,MOMENTUM_ACCELERATION,-4.441244460507943e-05,-0.00026030693289263746,-0.00021589448828755801,0.08062618034307692,0.05760336153572999
infy_ns,C57,4,POSITION_IN_20D_RANGE,0.5521222555772296,0.5315457765276426,-0.020576479049587038,0.2968473225507087,0.27910043778598015
infy_ns,C57,4,MOMENTUM_ACCELERATION,-0.0001029072539677975,-2.5457803004443176e-05,7.744945096335433e-05,0.07508081288382844,0.04665965718493984
infy_ns,C57,5,POSITION_IN_20D_RANGE,0.547728368637972,0.5792028979468119,0.03147452930883987,0.29323815079138676,0.2936624382069129
infy_ns,C57,5,MOMENTUM_ACCELERATION,-8.636875239906678e-05,9.590327837430422e-05,0.000182272030773371,0.06998299711446616,0.06071711062728945
