feature,importance,model,fold,config
PRICE_CHANGE_PCT,0.033902328461408615,xgboost,3,ALL
GAP_PCT,0.033799909055233,xgboost,3,ALL
TRUE_RANGE,0.03353576362133026,xgboost,3,ALL
HIST_VOL_20,0.03316354379057884,xgboost,3,ALL
VOLUME_SMA_20,0.032809797674417496,xgboost,3,ALL
Open,0.03262728825211525,xgboost,3,ALL
OBV,0.03249106556177139,xgboost,3,ALL
Low,0.03243468701839447,xgboost,3,ALL
VOLUME_RATIO,0.03229208663105965,xgboost,3,ALL
DAILY_RETURN,0.03207358717918396,xgboost,3,ALL
BODY_SIZE,0.032015811651945114,xgboost,3,ALL
UPPER_WICK,0.03158322721719742,xgboost,3,ALL
LOWER_WICK,0.031507376581430435,xgboost,3,ALL
MOMENTUM_20,0.03128361329436302,xgboost,3,ALL
ROLLING_STD_20,0.03099166974425316,xgboost,3,ALL
VOLUME_EMA_20,0.03084392286837101,xgboost,3,ALL
Close,0.030750935897231102,xgboost,3,ALL
MOMENTUM_10,0.030600618571043015,xgboost,3,ALL
Volume,0.030492426827549934,xgboost,3,ALL
DAILY_RANGE_PCT,0.030336376279592514,xgboost,3,ALL
HIGH_LOW_PCT,0.030019832774996758,xgboost,3,ALL
OPEN_CLOSE_PCT,0.029848700389266014,xgboost,3,ALL
VOLUME_CHANGE_PCT,0.029481036588549614,xgboost,3,ALL
ATR_14,0.029425080865621567,xgboost,3,ALL
High,0.02936473861336708,xgboost,3,ALL
EMA_50,0.028943559154868126,xgboost,3,ALL
Adj Close,0.028298521414399147,xgboost,3,ALL
EMA_20,0.02820000611245632,xgboost,3,ALL
RSI_14,0.027081811800599098,xgboost,3,ALL
SMA_50,0.026743771508336067,xgboost,3,ALL
EMA_20,0.23303650295226022,logistic_regression,1,TREND
SMA_20,0.15374356491453942,logistic_regression,1,TREND
EMA_50,0.073598971142463,logistic_regression,1,TREND
SMA_50,0.00976770867708392,logistic_regression,1,TREND
EMA_20,0.25807847197212697,random_forest,1,TREND
EMA_50,0.2519987922801199,random_forest,1,TREND
SMA_20,0.24800865354999269,random_forest,1,TREND
SMA_50,0.2419140821977605,random_forest,1,TREND
EMA_20,0.2724047303199768,xgboost,1,TREND
EMA_50,0.24839352071285248,xgboost,1,TREND
SMA_20,0.24780666828155518,xgboost,1,TREND
SMA_50,0.23139503598213196,xgboost,1,TREND
EMA_50,0.02734170572956297,logistic_regression,2,TREND
EMA_20,0.027337420963076568,logistic_regression,2,TREND
SMA_20,0.02218371511018582,logistic_regression,2,TREND
SMA_50,0.0218525215885984,logistic_regression,2,TREND
EMA_50,0.25263605722377597,random_forest,2,TREND
EMA_20,0.2512779540200564,random_forest,2,TREND
SMA_20,0.24832618679431098,random_forest,2,TREND
SMA_50,0.24775980196185662,random_forest,2,TREND
SMA_20,0.25902697443962097,xgboost,2,TREND
EMA_50,0.25760483741760254,xgboost,2,TREND
EMA_20,0.24583017826080322,xgboost,2,TREND
SMA_50,0.23753799498081207,xgboost,2,TREND
EMA_50,0.030156819566725813,logistic_regression,3,TREND
SMA_50,0.02615498858585286,logistic_regression,3,TREND
EMA_20,0.02378325878762011,logistic_regression,3,TREND
SMA_20,0.020232585336271938,logistic_regression,3,TREND
SMA_20,0.2548932646928372,random_forest,3,TREND
EMA_20,0.25263166065687803,random_forest,3,TREND
EMA_50,0.24756781014009976,random_forest,3,TREND
SMA_50,0.24490726451018502,random_forest,3,TREND
SMA_20,0.2563611567020416,xgboost,3,TREND
EMA_50,0.2499004602432251,xgboost,3,TREND
SMA_50,0.24782204627990723,xgboost,3,TREND
EMA_20,0.24591636657714844,xgboost,3,TREND
MOMENTUM_10,0.05873794867690563,logistic_regression,1,MOMENTUM
ROC_12,0.0191291892006591,logistic_regression,1,MOMENTUM
MOMENTUM_20,0.013717687351185334,logistic_regression,1,MOMENTUM
RSI_14,0.0012990776426046818,logistic_regression,1,MOMENTUM
