date,fold,cash,position_value,total_equity,daily_return,cumulative_return,exposure
2006-04-12,1,0.0,117666.77056950152,117666.77056950152,-0.05981728959304979,0.17666770569501516,100.0
2006-04-13,1,0.0,118747.76034381644,118747.76034381644,0.009186873822430759,0.18747760343816436,100.0
2006-04-17,1,0.0,125976.39198132027,125976.39198132027,0.06087383557024069,0.2597639198132027,100.0
2006-04-18,1,0.0,132778.17215639268,132778.17215639268,0.05399249865864537,0.3277817215639268,100.0
2006-04-19,1,0.0,132993.57804735645,132993.57804735645,0.0016222989627395397,0.32993578047356453,100.0
2006-04-20,1,0.0,131351.61618693444,131351.61618693444,-0.012346174037345961,0.31351616186934433,100.0
2006-04-21,1,0.0,131956.2622892851,131956.2622892851,0.00460326351439911,0.3195626228928511,100.0
2006-04-24,1,0.0,130649.27782662587,130649.27782662587,-0.009904679323168174,0.3064927782662587,100.0
2006-04-25,1,0.0,127196.99587479634,127196.99587479634,-0.02642404159639347,0.27196995874796337,100.0
2006-04-26,1,0.0,128213.53845044709,128213.53845044709,0.007991875662310128,0.28213538450447084,100.0
2006-04-27,1,0.0,128444.57048774236,128444.57048774236,0.0018019316843405043,0.28444570487742354,100.0
2006-04-28,1,0.0,130570.07006551356,130570.07006551356,0.016547990854732488,0.3057007006551356,100.0
2006-05-02,1,0.0,132886.98974226587,132886.98974226587,0.017744646040166748,0.3288698974226587,100.0
2006-05-03,1,0.0,134101.5597784554,134101.5597784554,0.009139871695078655,0.34101559778455415,100.0
2006-05-04,1,0.0,134902.90381127535,134902.90381127535,0.005975650351448624,0.3490290381127535,100.0
2006-05-05,1,0.0,132325.47231418738,132325.47231418738,-0.019105826666961184,0.3232547231418738,100.0
2006-05-08,1,0.0,133169.53973216782,133169.53973216782,0.0063787221252180355,0.3316953973216782,100.0
2006-05-09,1,0.0,133525.63432164871,133525.63432164871,0.0026739942947695034,0.3352563432164872,100.0
2006-05-10,1,0.0,133317.25173155687,133317.25173155687,-0.0015606186119279128,0.3331725173155687,100.0
2006-05-11,1,0.0,133119.42229847863,133119.42229847863,-0.0014838997242200885,0.33119422298478635,100.0
2006-05-12,1,0.0,131633.0692984135,131633.0692984135,-0.011165560775440085,0.31633069298413496,100.0
2006-05-15,1,0.0,129307.91338432436,129307.91338432436,-0.017663919306006467,0.29307913384324363,100.0
2006-05-16,1,0.0,130217.9239466642,130217.9239466642,0.007037547343565435,0.30217923946664205,100.0
2006-05-17,1,0.0,132978.31105328567,132978.31105328567,0.0211982116052786,0.32978311053285664,100.0
2006-05-18,1,0.0,126984.07762107447,126984.07762107447,-0.045076775187866944,0.26984077621074465,100.0
