config,model,fold,roc_auc,mcc,precision,unrestricted_return_pct,unrestricted_trades,unrestricted_win_rate_pct,unrestricted_expectancy_pct,unrestricted_sharpe,unrestricted_max_dd_pct,regime_filtered_return_pct,regime_filtered_trades,regime_filtered_win_rate_pct,regime_filtered_expectancy_pct,regime_filtered_sharpe,regime_filtered_max_dd_pct
C58_TREND,logistic_regression,5,0.57925721552331,0.10614087839304637,0.6507352941176471,93.50001926434716,63,58.730158730158735,1.1838969960845218,0.9610597148362537,20.609480368385533,56.86644861613633,26,61.53846153846154,1.9005039327770707,1.0382468740518813,21.020455234891656
C59_VOL_VOL,random_forest,1,0.5358137829912024,-0.04767096510756436,0.5171052631578947,-30.187224936559637,82,45.1219512195122,-0.1698051751306805,-0.051104869120730936,68.49573922791686,-1.9316191739951465,34,58.82352941176471,0.1451646657810799,0.07251864460994088,44.69478332772726
C59_VOL_VOL,random_forest,2,0.6061589304491513,0.18705812110982165,0.8631578947368421,353.3231012923095,31,80.64516129032258,5.1218643932193,2.2927494540603224,9.506968619193202,277.8452511140906,24,83.33333333333334,5.831434336827609,2.2152468620308423,7.953976302405014
C59_VOL_VOL,random_forest,3,0.5883431733264881,0.10919711776944815,0.6594827586206896,37.18071884523225,39,56.41025641025641,0.8979822484578938,0.6750665662773502,16.890555847665972,4.8726221186151815,13,38.46153846153847,0.5302262565176552,0.192396850727495,16.311795096096652
C59_VOL_VOL,random_forest,4,0.5761826371264605,0.13033734790310822,0.6462093862815884,76.24533893306388,48,68.75,1.2844377872398427,1.0964915932131312,22.061974453740998,-4.521888036505814,22,54.54545454545454,-0.1629291296146997,-0.07989656370410847,25.07398311228518
C59_VOL_VOL,random_forest,5,0.614293094443309,0.18493721772969116,0.660377358490566,67.03426779065491,54,66.66666666666666,1.0682394909148762,0.8180112853034871,23.074111759775878,13.102450161247688,25,60.0,0.574361731848263,0.3549014071090741,20.698198833643083
C59_VOL_VOL,xgboost,1,0.5300022558087074,-0.026547418355213882,0.5263157894736842,-35.2324713722205,75,50.66666666666667,-0.3330432572855288,-0.11411260206787677,64.56561800016678,-12.489002432567025,29,58.620689655172406,-0.27294383023400376,-0.11300990732891221,42.82455041091715
C59_VOL_VOL,xgboost,2,0.5551750037554454,0.11807874142143922,0.7603305785123967,247.06179450302824,32,78.125,4.065152668711235,1.8449225772999953,16.05161891480251,182.6301734569552,26,76.92307692307693,4.188478701051021,1.6488109708900187,16.916454247431982
C59_VOL_VOL,xgboost,3,0.5617352614015572,0.1249448112558556,0.6403162055335968,61.032910122413185,44,61.36363636363637,1.173278358576471,0.9998431441629224,13.383839879210921,29.262067468396268,17,52.94117647058824,1.664184898295409,0.808168056424976,12.329876030908325
C59_VOL_VOL,xgboost,4,0.5865628643939914,0.12942404759213855,0.6462585034013606,58.501493274028846,51,56.86274509803921,1.021141699290993,0.8594223295378791,23.845855608376436,-11.530291909397782,23,47.82608695652174,-0.46629738919767005,-0.2666504224276293,31.817714010137067
C59_VOL_VOL,xgboost,5,0.6211821877057928,0.2180490939650206,0.671280276816609,38.73958986410135,48,60.416666666666664,0.807563790279784,0.5610321200725267,24.33777019314854,-3.2698560713843907,13,53.84615384615385,-0.08538596469538835,-0.04123905389231927,27.55791054972073
C59_VOL_VOL,logistic_regression,1,0.5797259192420483,0.11196580413155761,0.5799256505576208,5.84498963348921,43,58.139534883720934,0.5015753154098563,0.21887619555457877,42.63466984581222,26.82044902621477,16,75.0,1.7405949164104433,0.5630601335786123,19.815369923842432
C59_VOL_VOL,logistic_regression,2,0.6014480997446298,0.11915234796331914,0.7407407407407407,46.682163189215174,15,66.66666666666666,2.7573701126159267,0.767182725581471,14.844091222151642,64.37743085663136,12,83.33333333333334,4.371090746963993,1.0480913147185777,10.812094661524023
C59_VOL_VOL,logistic_regression,3,0.4666780753543823,-0.09398310115948046,0.4838709677419355,-1.5812321458258085,59,50.847457627118644,0.052473240888158384,0.07844560147518079,35.541857061851054,-5.740226914348037,29,44.827586206896555,-0.095634788819406,-0.03741790746981533,27.440262096272743
