asset,config,model,fold,feature,importance
reliance_ns,ALL_32,random_forest,2,DAILY_RANGE_PCT,0.031134510218539323
reliance_ns,ALL_32,random_forest,2,OBV,0.029927050949703368
reliance_ns,ALL_32,random_forest,2,TRUE_RANGE,0.028334910469500284
reliance_ns,ALL_32,random_forest,2,EMA_50,0.026671912962357155
reliance_ns,ALL_32,random_forest,2,EMA_20,0.026322588874046194
reliance_ns,ALL_32,random_forest,2,SMA_20,0.025901130354173282
reliance_ns,ALL_32,random_forest,2,SMA_50,0.025688824008253352
reliance_ns,ALL_32,random_forest,2,Adj Close,0.02462220229283666
reliance_ns,ALL_32,random_forest,2,High,0.023989634184978455
reliance_ns,ALL_32,random_forest,2,Low,0.023731908106172823
reliance_ns,ALL_32,random_forest,2,Open,0.02316534806825161
reliance_ns,ALL_32,random_forest,2,Close,0.023109948845895303
reliance_ns,ALL_32,xgboost,2,SMA_20,0.037349265068769455
reliance_ns,ALL_32,xgboost,2,EMA_20,0.03596598282456398
reliance_ns,ALL_32,xgboost,2,Close,0.03552944213151932
reliance_ns,ALL_32,xgboost,2,DAILY_RANGE_PCT,0.03478466719388962
reliance_ns,ALL_32,xgboost,2,UPPER_WICK,0.03373843431472778
reliance_ns,ALL_32,xgboost,2,TRUE_RANGE,0.033323582261800766
reliance_ns,ALL_32,xgboost,2,VOLUME_SMA_20,0.03314715996384621
reliance_ns,ALL_32,xgboost,2,Open,0.03261667490005493
reliance_ns,ALL_32,xgboost,2,VOLUME_EMA_20,0.032322049140930176
reliance_ns,ALL_32,xgboost,2,ROC_12,0.0323091559112072
reliance_ns,ALL_32,xgboost,2,OBV,0.032148074358701706
reliance_ns,ALL_32,xgboost,2,GAP_PCT,0.03209035098552704
reliance_ns,ALL_32,xgboost,2,BODY_SIZE,0.032055411487817764
reliance_ns,ALL_32,xgboost,2,EMA_50,0.031763240694999695
reliance_ns,ALL_32,xgboost,2,Volume,0.03175893425941467
reliance_ns,ALL_32,xgboost,2,ROLLING_STD_20,0.03170282393693924
reliance_ns,ALL_32,xgboost,2,Low,0.03074583038687706
reliance_ns,ALL_32,xgboost,2,LOWER_WICK,0.030634216964244843
reliance_ns,ALL_32,xgboost,2,PRICE_CHANGE_PCT,0.030235420912504196
reliance_ns,ALL_32,xgboost,2,DAILY_RETURN,0.03012489713728428
reliance_ns,ALL_32,xgboost,2,RSI_14,0.029858848080039024
reliance_ns,ALL_32,xgboost,2,SMA_50,0.029838470742106438
reliance_ns,ALL_32,xgboost,2,VOLUME_CHANGE_PCT,0.02975250408053398
reliance_ns,ALL_32,xgboost,2,VOLUME_RATIO,0.029642721638083458
