asset,model,config_id,total_folds,mean_strat_cum_return_pct,mean_buy_hold_return_pct,mean_win_rate_pct,mean_profit_factor,mean_max_drawdown_pct,mean_sharpe,mean_filtered_cum_return_pct,mean_filtered_precision_pct
reliance_ns,random_forest,C8,5,1861655.4458694714,4633762559.572087,57.4527392205536,1.9492039457268728,84.3366336440939,1.3206849588924736,101187.93369620143,59.80014858567907
reliance_ns,xgboost,C0,5,9088.665443239735,4633762559.572087,58.04900446248086,1.7830012111434548,83.50569983630662,1.6556208246242634,1963.5868471925626,59.08844013567083
reliance_ns,xgboost,C5,5,658676.0736137402,4633762559.572087,58.435256666857285,2.1610262602899075,78.39564967377831,1.5841557672918578,109666.44861044413,59.0953871335205
reliance_ns,xgboost,C57,5,5916375.206507948,4633762559.572087,57.53569833313039,2.046322757089272,83.28070866412354,1.471884818372866,2416695.4187168907,60.40155510967094
reliance_ns,xgboost,C7,5,14958.268599932606,4633762559.572087,58.77200732440186,1.9877004998369756,77.91663886858957,1.9872876429093673,5633.8775464900455,59.89086429497993
reliance_ns,xgboost,C8,5,972894.2392307958,4633762559.572087,56.52106326165233,1.8768843306218055,83.20574340371172,1.160429326649655,173125.4174570795,57.76416939974788
tcs_ns,logistic_regression,C0,5,315963.3567446718,22715330.93382535,55.3003892998297,1.5739684345188871,86.25514725703975,1.9099832539796338,16925.30512707016,54.249934785329444
tcs_ns,logistic_regression,C5,5,4488.352476530945,22715330.93382535,59.814205718361,2.520044498585995,75.38479093554737,1.7839376413277364,1187.3280757974942,61.33523541350302
tcs_ns,logistic_regression,C57,5,3159.586690757775,22715330.93382535,59.447527561315674,2.4845301885436255,76.48202000126498,1.7868577174455396,1297.0638200546987,61.709028398257715
tcs_ns,logistic_regression,C7,5,231325.5084857973,22715330.93382535,55.63445433049565,1.59034449724694,87.33524402770534,1.9677654708893004,8487.37078343118,54.91245079710423
tcs_ns,logistic_regression,C8,5,9011.766538279395,22715330.93382535,62.368222694656424,4.268429748350281,70.90794552458266,2.1026344373583847,2715.2332479355237,64.81787734493018
tcs_ns,random_forest,C0,5,32341.144425446542,22715330.93382535,60.33708631553172,2.3671102457335307,67.24287782096596,2.3990302851966954,2105.437090321566,61.81742862382953
tcs_ns,random_forest,C5,5,14052.223703702273,22715330.93382535,62.29809497160124,2.465360666047917,66.06056030801336,2.5515665685784246,2717.894615636795,66.1614849986586
tcs_ns,random_forest,C57,5,20990.653733041137,22715330.93382535,61.952601147273725,2.45424196687897,69.11856058035734,2.677250559202416,3290.4173974804507,65.0914185623927
tcs_ns,random_forest,C7,5,44216.49433886568,22715330.93382535,60.63452631360398,2.3194936398284365,67.22738211993831,2.5566243201155263,3680.667158833483,63.89310728068486
tcs_ns,random_forest,C8,5,532949.8049457246,22715330.93382535,61.32119898017767,2.6190987907834162,77.53869090101043,2.7001663034875003,18021.91290732593,64.13847049434676
tcs_ns,xgboost,C0,5,21585.685645516718,22715330.93382535,62.26819429183566,2.7151057103851053,66.28574956846329,2.427966702310635,4589.241579081256,64.0986059574311
tcs_ns,xgboost,C5,5,7679.4668386212325,22715330.93382535,60.850453718513656,2.0671300559025267,73.33330135908271,2.3852800192909713,6877.679297012423,62.842293342810564
tcs_ns,xgboost,C57,5,7716.0881473602585,22715330.93382535,61.221896797858555,2.186026371336305,72.77995620664709,2.444692280121915,5949.619166238019,63.90072933377742
tcs_ns,xgboost,C7,5,14530.939172785156,22715330.93382535,61.891829019138555,2.6593271727608077,63.645630317014714,2.626133735478798,4586.482341785329,63.36003243130772
tcs_ns,xgboost,C8,5,22407.26483720054,22715330.93382535,59.47802315759115,2.0662641131385335,78.45520547052774,2.251297427033088,13309.13815186215,61.323991892840326
